2025-07-07 17:09:15,010 - gym_custom_envs_real_ur_drivers_URBasic_robotModelEvent - INFO - Init done
2025-07-07 17:09:15,511 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Connected
2025-07-07 17:09:15,511 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - RT_CLient constructor done
2025-07-07 17:09:15,521 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - Data logging (not event logging) is disabled
2025-07-07 17:09:15,522 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog constructor done
2025-07-07 17:09:15,522 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog is stopped
2025-07-07 17:09:15,523 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE constructor done
2025-07-07 17:09:15,905 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - Controller version: 3.3.1-60
2025-07-07 17:09:15,908 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE started
2025-07-07 17:09:16,025 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Connected
2025-07-07 17:09:16,026 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - UR Dashboard respond Connected: Universal Robots Dashboard Server
2025-07-07 17:09:16,026 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Dashboard server constructor done
2025-07-07 17:09:16,026 - gym_custom_envs_real_ur_drivers_URBasic_robotConnectorEvent - INFO - Init done
2025-07-07 17:09:16,026 - gym_custom_envs_real_ur_drivers_URBasic_urScriptEvent - INFO - Init done!!!
2025-07-07 17:09:16,036 - gym_custom_envs_real_ur_drivers_URBasic_urScriptExtEvent - INFO - Init done
2025-07-07 17:09:17,646 - gym_custom_envs_real_ur_interfaceEvent - INFO - [] init done
2025-07-07 17:09:17,646 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
end_freedrive_mode()

2025-07-07 17:09:19,479 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.02221493718667071, -1.479159039559873, -1.5443925261396478, -1.6084740247067422, 1.563915294922575, 3.1163467884063722], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,495 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022189375966249727, -1.4791651104003183, -1.544408141636254, -1.6084355069379952, 1.563928052166181, 3.1163589477539064], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,509 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022210888195638333, -1.479178788555668, -1.5444161966256091, -1.6084757669614376, 1.5639091946424069, 3.1163708686828615], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,525 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022185506866648344, -1.4791850738441397, -1.5444244974766745, -1.6084337677014233, 1.563942109753167, 3.116334867477417], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,544 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022210888195638333, -1.479170908710589, -1.5443922418965692, -1.608452127426201, 1.563932991774545, 3.1163708686828615], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,556 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022163605585390676, -1.4791630288655102, -1.5438931964401559, -1.6084678871163587, 1.5639091946424069, 3.1163708686828615], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,572 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022231066086621377, -1.4791918610082677, -1.543873282105641, -1.6084513314317699, 1.563995045962621, 3.1162509441375734], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,592 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022235240021774332, -1.4792280391381627, -1.5444050500332558, -1.6084303837978278, 1.5640444309927464, 3.116179180145264], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,604 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022400566525963072, -1.4793954705462689, -1.5444064691973927, -1.608375142298936, 1.5643238071092616, 3.115855884552002], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,620 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022507735493464843, -1.479488134664202, -1.5438831381564224, -1.6083789748529735, 1.5644926709382265, 3.1156880378723146], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,636 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.022714690943447993, -1.4796663587531913, -1.543881173805482, -1.6082878906486748, 1.5648110167022744, 3.1153051376342775], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:09:19,652 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.02289774043258498, -1.479812067923049, -1.5438839433714044, -1.6082552067175802, 1.5650301460562752, 3.1149699211120607], 0.5, 0.5, 0.008, 0.2, 80)

